"domain","notebook_heading","variable_label","indicator_code","category_id","category_title","chart_type","analytical_question","availability","portability","source_or_adapter","notes"
"Poverty and inequality","빈곤률 자료 가져오기","International poverty headcount at 3 dollars a day (2021 PPP)","SI.POV.DDAY","poverty","Poverty and Distribution","latest_bar","How large is income poverty relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank Poverty and Inequality Platform","Survey years are sparse and welfare concepts differ."
"Poverty and inequality","세후빈곤율 계산시 빈곤선 50%와 60%의 차이는 얼마나 큰가?","Relative poverty at 50% and 60% of median income","","poverty","Poverty and Distribution","latest_bar","How sensitive is measured poverty to the threshold?","adapter_needed","mostly_OECD","OECD Income Distribution Database","Both thresholds and matching income concepts must be retrieved."
"Poverty and inequality","빈곤선 기준에 따른 빈곤율 차이가 국가 간 얼마나 큰가?","Cross-country poverty-threshold gap","","poverty","Poverty and Distribution","change_bar","Which countries are most sensitive to the poverty threshold?","derived_analysis","mostly_OECD","Derived from OECD 50% and 60% series","Do not compare countries unless years and income definitions align."
"Poverty and inequality","빈곤선 기준에 따른 빈곤률 차이가 빈곤률이 높은 국가인 경우에 큰가?","Poverty level versus threshold-sensitivity association","","poverty","Poverty and Distribution","scatter","Is threshold sensitivity associated with the level of poverty?","derived_analysis","mostly_OECD","Derived statistical analysis","Report sample size and avoid causal language."
"Poverty and inequality","한국의 세후빈곤율은 다른 나라에 비해 악화되고 있는가?","Relative poverty trend at 50% of median income","","poverty","Poverty and Distribution","trend","Is relative poverty rising faster than in peers?","adapter_needed","mostly_OECD","OECD Income Distribution Database","Not available for many non-OECD countries."
"Poverty and inequality","한국의 세후빈곤율은 다른 나라에 비해 악화되고 있는가? (빈곤선 60%))","Relative poverty trend at 60% of median income","","poverty","Poverty and Distribution","trend","Does the conclusion change at the 60% threshold?","adapter_needed","mostly_OECD","OECD Income Distribution Database","Not available for many non-OECD countries."
"Poverty and inequality","OECD 연령별 빈곤률 자료","Relative poverty by age group","","poverty","Poverty and Distribution","latest_bar","How is poverty distributed between working-age and older people?","adapter_needed","mostly_OECD","OECD Income Distribution Database","Age bands and reference years must match."
"Poverty and inequality","15-65세 인구의 빈곤율과 고령층 빈곤율 간의 상관관계","Working-age versus old-age poverty association","","poverty","Poverty and Distribution","scatter","Do countries with higher working-age poverty also have higher old-age poverty?","derived_analysis","mostly_OECD","Derived from OECD age-specific poverty","Correlation is descriptive."
"Poverty and inequality","노인 빈곤율은 자산을 반영하지 않아서 높은 것일까?","Income poverty and household-asset context among older people","","poverty","Poverty and Distribution","scatter","Does asset ownership alter interpretation of old-age income poverty?","national_data_required","country_specific","Household wealth or asset survey","Income and assets cannot be conflated."
"Family support","부모님 생활비는 누가지불하는가? (가구주)","Source of parental living-cost support reported by household head","","family_support","Family Support and Care","stacked_bar","Who finances parents' living costs?","national_data_required","country_specific","National household or social survey","Question wording and household role are country-specific."
